game_pk,policy,reward,challenges,successes
744798,Terminal-Count,0.07200000000000001,3,1
744801,Terminal-Count,0.060000000000000005,3,1
744802,Terminal-Count,0.060000000000000005,3,1
744803,Terminal-Count,-0.02,2,0
744810,Terminal-Count,-0.02,2,0
744823,Terminal-Count,-0.02,2,0
744827,Terminal-Count,-0.02,2,0
744838,Terminal-Count,-0.02,2,0
744883,Terminal-Count,0.06099999999999991,3,1
744890,Terminal-Count,-0.02,2,0
744892,Terminal-Count,-0.02,2,0
744896,Terminal-Count,0.06099999999999991,3,1
744897,Terminal-Count,-0.02,2,0
744903,Terminal-Count,0.06099999999999991,3,1
744909,Terminal-Count,0.06099999999999991,3,1
744961,Terminal-Count,-0.02,2,0
744964,Terminal-Count,0.060000000000000005,3,1
744970,Terminal-Count,0.07200000000000001,3,1
744973,Terminal-Count,-0.02,2,0
744976,Terminal-Count,-0.02,2,0
744996,Terminal-Count,-0.02,2,0
745000,Terminal-Count,0.1419999999999998,4,2
745007,Terminal-Count,0.0639999999999999,3,1
745009,Terminal-Count,-0.02,2,0
745044,Terminal-Count,-0.02,2,0
745051,Terminal-Count,0.4219999999999997,7,5
745052,Terminal-Count,-0.02,2,0
745069,Terminal-Count,-0.02,2,0
745073,Terminal-Count,0.2619999999999998,6,4
745075,Terminal-Count,-0.02,2,0
745078,Terminal-Count,-0.02,2,0
745118,Terminal-Count,0.06099999999999991,3,1
745126,Terminal-Count,-0.02,2,0
745135,Terminal-Count,0.1529999999999999,4,2
745139,Terminal-Count,-0.02,2,0
745140,Terminal-Count,-0.02,2,0
745147,Terminal-Count,0.3339999999999999,4,2
745153,Terminal-Count,0.06099999999999991,3,1
745184,Terminal-Count,-0.02,2,0
745211,Terminal-Count,-0.02,2,0
745212,Terminal-Count,-0.02,2,0
745229,Terminal-Count,0.060000000000000005,3,1
745237,Terminal-Count,0.06099999999999991,3,1
745248,Terminal-Count,-0.02,2,0
745252,Terminal-Count,0.06099999999999991,3,1
745287,Terminal-Count,-0.02,2,0
745290,Terminal-Count,0.07200000000000001,3,1
745309,Terminal-Count,0.06099999999999991,3,1
745311,Terminal-Count,-0.02,2,0
745326,Terminal-Count,-0.02,2,0
745328,Terminal-Count,-0.02,2,0
745366,Terminal-Count,0.06099999999999991,3,1
745384,Terminal-Count,0.46599999999999997,4,2
745385,Terminal-Count,0.1409999999999999,4,2
745388,Terminal-Count,0.06099999999999991,3,1
745391,Terminal-Count,0.07200000000000001,3,1
745392,Terminal-Count,-0.02,2,0
745394,Terminal-Count,0.07200000000000001,3,1
745395,Terminal-Count,-0.02,2,0
745401,Terminal-Count,0.0649999999999999,3,1
745402,Terminal-Count,-0.02,2,0
745403,Terminal-Count,0.642,5,3
745452,Terminal-Count,0.06099999999999991,3,1
745454,Terminal-Count,-0.02,2,0
745456,Terminal-Count,0.07200000000000001,3,1
745458,Terminal-Count,-0.02,2,0
745469,Terminal-Count,0.06099999999999991,3,1
745479,Terminal-Count,-0.02,2,0
745483,Terminal-Count,0.07200000000000001,3,1
745521,Terminal-Count,-0.02,2,0
745527,Terminal-Count,-0.02,2,0
745534,Terminal-Count,-0.02,2,0
745537,Terminal-Count,-0.02,2,0
745543,Terminal-Count,-0.02,2,0
745545,Terminal-Count,-0.02,2,0
745560,Terminal-Count,-0.02,2,0
745561,Terminal-Count,-0.02,2,0
745564,Terminal-Count,0.06099999999999991,3,1
745565,Terminal-Count,-0.02,2,0
745568,Terminal-Count,0.060000000000000005,3,1
745570,Terminal-Count,0.06099999999999991,3,1
745606,Terminal-Count,0.1449999999999999,4,2
745627,Terminal-Count,0.020999999999999894,3,1
745633,Terminal-Count,-0.02,2,0
745636,Terminal-Count,-0.02,2,0
745637,Terminal-Count,-0.02,2,0
745641,Terminal-Count,-0.02,2,0
745648,Terminal-Count,-0.02,2,0
745651,Terminal-Count,0.1859999999999999,5,3
745655,Terminal-Count,-0.02,2,0
745699,Terminal-Count,0.0639999999999999,3,1
745715,Terminal-Count,-0.02,2,0
745716,Terminal-Count,0.152,4,2
745725,Terminal-Count,0.06099999999999991,3,1
745731,Terminal-Count,-0.02,2,0
745734,Terminal-Count,-0.02,2,0
745781,Terminal-Count,-0.02,2,0
745783,Terminal-Count,-0.02,2,0
745784,Terminal-Count,0.06099999999999991,3,1
745791,Terminal-Count,-0.02,2,0
745794,Terminal-Count,0.060000000000000005,3,1
745808,Terminal-Count,-0.02,2,0
745810,Terminal-Count,-0.02,2,0
745813,Terminal-Count,0.060000000000000005,3,1
745815,Terminal-Count,0.0649999999999999,3,1
745852,Terminal-Count,-0.02,2,0
745865,Terminal-Count,-0.02,2,0
745870,Terminal-Count,-0.02,2,0
745871,Terminal-Count,-0.02,2,0
745880,Terminal-Count,-0.02,2,0
745884,Terminal-Count,-0.02,2,0
745894,Terminal-Count,-0.02,2,0
745897,Terminal-Count,-0.02,2,0
745935,Terminal-Count,0.06099999999999991,3,1
745940,Terminal-Count,0.1409999999999999,4,2
745941,Terminal-Count,-0.02,2,0
745943,Terminal-Count,-0.02,2,0
745952,Terminal-Count,-0.02,2,0
745972,Terminal-Count,0.6499999999999999,5,3
745975,Terminal-Count,-0.02,2,0
745976,Terminal-Count,-0.02,2,0
746021,Terminal-Count,-0.02,2,0
746026,Terminal-Count,-0.02,2,0
746028,Terminal-Count,-0.02,2,0
746029,Terminal-Count,0.06099999999999991,3,1
746046,Terminal-Count,0.1529999999999999,4,2
746051,Terminal-Count,-0.02,2,0
746062,Terminal-Count,0.0639999999999999,3,1
746088,Terminal-Count,-0.02,2,0
746099,Terminal-Count,-0.02,2,0
746100,Terminal-Count,-0.02,2,0
746101,Terminal-Count,-0.02,2,0
